ISSN	Título	Estrato	Área de Avaliação	Status
0018-9286	IEEE Transactions on Automatic Control (Print)	A1	ENGENHARIAS IV	Atualizado
1545-5955	IEEE Transactions on Automation Science and Engineering	A1	ENGENHARIAS IV	Atualizado
0018-9294	IEEE Transactions on Biomedical Engineering (Print)	A1	ENGENHARIAS IV	Atualizado
0018-9316	IEEE Transactions on Broadcasting	A1	ENGENHARIAS IV	Atualizado
1051-8215	IEEE Transactions on Circuits and Systems for Video Technology (Print)	A1	ENGENHARIAS IV	Atualizado
1549-7747	IEEE Transactions on Circuits and Systems. II, Express Briefs	A1	ENGENHARIAS IV	Atualizado
1558-0806	IEEE Transactions on Circuits and Systems. I, Regular Papers (Online)	A1	ENGENHARIAS IV	Atualizado
1549-8328	IEEE Transactions on Circuits and Systems. I, Regular Papers (Print)	A1	ENGENHARIAS IV	Atualizado
0090-6778	IEEE Transactions on Communications (Print)	A1	ENGENHARIAS IV	Atualizado
0278-0070	IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems	A1	ENGENHARIAS IV	Atualizado
0018-9340	IEEE Transactions on Computers (Print)	A1	ENGENHARIAS IV	Atualizado
0098-3063	IEEE Transactions on Consumer Electronics	A1	ENGENHARIAS IV	Atualizado
1063-6536	IEEE Transactions on Control Systems Technology (Print)	A1	ENGENHARIAS IV	Atualizado
1545-5971	IEEE Transactions on Dependable and Secure Computing	A1	ENGENHARIAS IV	Atualizado
1070-9878	IEEE Transactions on Dielectrics and Electrical Insulation	A1	ENGENHARIAS IV	Atualizado
0018-9359	IEEE Transactions on Education	A1	ENGENHARIAS IV	Atualizado
0018-9375	IEEE Transactions on Electromagnetic Compatibility (Print)	A1	ENGENHARIAS IV	Atualizado
0018-9383	IEEE Transactions on Electron Devices	A1	ENGENHARIAS IV	Atualizado
0885-8969	IEEE Transactions on Energy Conversion	A1	ENGENHARIAS IV	Atualizado
1089-778X	IEEE Transactions on Evolutionary Computation	A1	ENGENHARIAS IV	Atualizado
1063-6706	IEEE Transactions on Fuzzy Systems	A1	ENGENHARIAS IV	Atualizado
0196-2892	IEEE Transactions on Geoscience and Remote Sensing	A1	ENGENHARIAS IV	Atualizado
1057-7149	IEEE Transactions on Image Processing	A1	ENGENHARIAS IV	Atualizado
0278-0046	IEEE Transactions on Industrial Electronics (1982. Print)	A1	ENGENHARIAS IV	Atualizado
1551-3203	IEEE Transactions on Industrial Informatics	A1	ENGENHARIAS IV	Atualizado
0093-9994	IEEE Transactions on Industry Applications	A1	ENGENHARIAS IV	Atualizado
1556-6013	IEEE Transactions on Information Forensics and Security	A1	ENGENHARIAS IV	Atualizado
1089-7771	IEEE Transactions on Information Technology in Biomedicine	A1	ENGENHARIAS IV	Atualizado
0018-9448	IEEE Transactions on Information Theory	A1	ENGENHARIAS IV	Atualizado
1524-9050	IEEE Transactions on Intelligent Transportation Systems (Print)	A1	ENGENHARIAS IV	Atualizado
0018-9464	IEEE Transactions on Magnetics	A1	ENGENHARIAS IV	Atualizado
0278-0062	IEEE Transactions on Medical Imaging (Print)	A1	ENGENHARIAS IV	Atualizado
0018-9480	IEEE Transactions on Microwave Theory and Techniques	A1	ENGENHARIAS IV	Atualizado
1520-9210	IEEE Transactions on Multimedia	A1	ENGENHARIAS IV	Atualizado
1536-125X	IEEE Transactions on Nanotechnology	A1	ENGENHARIAS IV	Atualizado
1045-9227	IEEE Transactions on Neural Networks	A1	ENGENHARIAS IV	Atualizado
1534-4320	IEEE Transactions on Neural Systems and Rehabilitation Engineering	A1	ENGENHARIAS IV	Atualizado
0018-9499	IEEE Transactions on Nuclear Science	A1	ENGENHARIAS IV	Atualizado
1045-9219	IEEE Transactions on Parallel and Distributed Systems (Print)	A1	ENGENHARIAS IV	Atualizado
0162-8828	IEEE Transactions on Pattern Analysis and Machine Intelligence	A1	ENGENHARIAS IV	Atualizado
0093-3813	IEEE Transactions on Plasma Science	A1	ENGENHARIAS IV	Atualizado
0885-8977	IEEE Transactions on Power Delivery	A1	ENGENHARIAS IV	Atualizado
0885-8993	IEEE Transactions on Power Electronics	A1	ENGENHARIAS IV	Atualizado
0885-8950	IEEE Transactions on Power Systems	A1	ENGENHARIAS IV	Atualizado
0018-9529	IEEE Transactions on Reliability	A1	ENGENHARIAS IV	Atualizado
1552-3098	IEEE Transactions on Robotics	A1	ENGENHARIAS IV	Atualizado
1053-587X	IEEE Transactions on Signal Processing	A1	ENGENHARIAS IV	Atualizado
0098-5589	IEEE Transactions on Software Engineering	A1	ENGENHARIAS IV	Atualizado
1083-4427	IEEE Transactions on Systems, Man and Cybernetics. Part A. Systems and Humans	A1	ENGENHARIAS IV	Atualizado
1083-4419	IEEE Transactions on Systems, Man and Cybernetics. Part B. Cybernetics	A1	ENGENHARIAS IV	Atualizado
1094-6977	IEEE Transactions on Systems, Man and Cybernetics. Part C, Applications and Reviews	A1	ENGENHARIAS IV	Atualizado
0885-3010	IEEE Transactions on Ultrasonics, Ferroelectrics, and Frequency Control	A1	ENGENHARIAS IV	Atualizado
0018-9545	IEEE Transactions on Vehicular Technology	A1	ENGENHARIAS IV	Atualizado
1063-8210	IEEE Transactions on Very Large Scale Integration (VLSI) Systems (Print)	A1	ENGENHARIAS IV	Atualizado
1077-2626	IEEE Transactions on Visualization and Computer Graphics	A1	ENGENHARIAS IV	Atualizado
1536-1276	IEEE Transactions on Wireless Communications	A1	ENGENHARIAS IV	Atualizado
1556-6072	IEEE Vehicular Technology Magazine	A1	ENGENHARIAS IV	Atualizado
1536-1284	IEEE Wireless Communications	A1	ENGENHARIAS IV	Atualizado
1751-8660	IET Electric Power Applications (Print)	A1	ENGENHARIAS IV	Atualizado
1350-2352	IET Electric Power Applications (Print)	A1	ENGENHARIAS IV	Atualizado
1751-8695	IET Generation, Transmission & Distribution (Online)	A1	ENGENHARIAS IV	Atualizado
1751-8687	IET Generation, Transmission & Distribution (Print)	A1	ENGENHARIAS IV	Atualizado
1751-8768	IET Optoelectronics (Print)	A1	ENGENHARIAS IV	Atualizado
1755-4543	IET Power Electronics (Online)	A1	ENGENHARIAS IV	Atualizado
1755-4535	IET Power Electronics (Print)	A1	ENGENHARIAS IV	Atualizado
1751-8784	IET Radar, Sonar & Navigation (Print)	A1	ENGENHARIAS IV	Atualizado
1752-1424	IET Renewable Power Generation (Online)	A1	ENGENHARIAS IV	Atualizado
1752-1416	IET Renewable Power Generation (Print)	A1	ENGENHARIAS IV	Atualizado
0262-8856	Image and Vision Computing	A1	ENGENHARIAS IV	Atualizado
1566-2535	Information Fusion (Print)	A1	ENGENHARIAS IV	Atualizado
0020-0255	Information Sciences	A1	ENGENHARIAS IV	Atualizado
0890-6327	International Journal of Adaptive Control and Signal Processing (Print)	A1	ENGENHARIAS IV	Atualizado
0218-1274	International Journal of Bifurcation and Chaos in Applied Sciences and Engineering	A1	ENGENHARIAS IV	Atualizado
0020-7179	International Journal of Control (Print)	A1	ENGENHARIAS IV	Atualizado
0142-0615	International Journal of Electrical Power & Energy Systems	A1	ENGENHARIAS IV	Atualizado
1099-1239	International Journal of Robust and Nonlinear Control	A1	ENGENHARIAS IV	Atualizado
1049-8923	International Journal of Robust and Nonlinear Control (Print)	A1	ENGENHARIAS IV	Atualizado
1542-0973	International Journal of Satellite Communications and Networking (Print)	A1	ENGENHARIAS IV	Atualizado
0020-7721	International Journal of Systems Science	A1	ENGENHARIAS IV	Atualizado
1464-5319	International Journal of Systems Science (Online)	A1	ENGENHARIAS IV	Atualizado
0885-3282	Journal of Biomaterials Applications	A1	ENGENHARIAS IV	Atualizado
0021-9290	Journal of Biomechanics	A1	ENGENHARIAS IV	Atualizado
1549-3296	Journal of Biomedical Materials Research. Part A	A1	ENGENHARIAS IV	Atualizado
1552-4973	Journal of Biomedical Materials Research. Part B, Applied Biomaterials	A1	ENGENHARIAS IV	Atualizado
1083-3668	Journal of Biomedical Optics	A1	ENGENHARIAS IV	Atualizado
1061-8600	Journal of Computational and Graphical Statistics	A1	ENGENHARIAS IV	Atualizado
1569-8025	Journal of Computational Electronics (Print)	A1	ENGENHARIAS IV	Atualizado
0929-5313	Journal of Computational Neuroscience	A1	ENGENHARIAS IV	Atualizado
0920-5071	Journal of Electromagnetic Waves and Applications (Print)	A1	ENGENHARIAS IV	Atualizado
0361-5235	Journal of Electronic Materials	A1	ENGENHARIAS IV	Atualizado
0304-3886	Journal of Electrostatics	A1	ENGENHARIAS IV	Atualizado
1556-4959	Journal of Field Robotics	A1	ENGENHARIAS IV	Atualizado
1748-0221	Journal of Instrumentation	A1	ENGENHARIAS IV	Atualizado
0733-8724	Journal of Lightwave Technology (Print)	A1	ENGENHARIAS IV	Atualizado
0957-4530	Journal of Materials Science. Materials in Medicine	A1	ENGENHARIAS IV	Atualizado
1057-7157	Journal of Microelectromechanical Systems	A1	ENGENHARIAS IV	Atualizado
1743-0003	Journal of Neuroengineering and Rehabilitation	A1	ENGENHARIAS IV	Atualizado
1943-0620	Journal of Optical Communications and Networking (Print)	A1	ENGENHARIAS IV	Atualizado
0378-7753	Journal of Power Sources (Print)	A1	ENGENHARIAS IV	Atualizado
0959-1524	Journal of Process Control	A1	ENGENHARIAS IV	Atualizado
1861-8200	Journal of Real-Time Image Processing (Print)	A1	ENGENHARIAS IV	Atualizado
0016-0032	Journal of the Franklin Institute	A1	ENGENHARIAS IV	Atualizado
0740-3224	Journal of the Optical Society of America. B, Optical Physics	A1	ENGENHARIAS IV	Atualizado
1071-0922	Journal of the Society for Information Display	A1	ENGENHARIAS IV	Atualizado
1473-0197	Lab on a Chip (Print)	A1	ENGENHARIAS IV	Atualizado
0268-8921	Lasers in Medical Science	A1	ENGENHARIAS IV	Atualizado
1435-604X	Lasers in Medical Science (Internet)	A1	ENGENHARIAS IV	Atualizado
0196-8092	Lasers in Surgery and Medicine (Print)	A1	ENGENHARIAS IV	Atualizado
0921-5107	Materials Science & Engineering. B, Solid-State Materials for Advanced Technology	A1	ENGENHARIAS IV	Atualizado
0957-0233	Measurement Science & Technology (Print)	A1	ENGENHARIAS IV	Atualizado
0957-4158	Mechatronics (Oxford)	A1	ENGENHARIAS IV	Atualizado
0140-0118	Medical & Biological Engineering & Computing	A1	ENGENHARIAS IV	Atualizado
1350-4533	Medical Engineering & Physics	A1	ENGENHARIAS IV	Atualizado
1361-8415	Medical Image Analysis (Print)	A1	ENGENHARIAS IV	Atualizado
0094-2405	Medical Physics (Lancaster)	A1	ENGENHARIAS IV	Atualizado
0167-9317	Microelectronic Engineering	A1	ENGENHARIAS IV	Atualizado
0923-6082	Multidimensional Systems and Signal Processing	A1	ENGENHARIAS IV	Atualizado
0893-6080	Neural Networks	A1	ENGENHARIAS IV	Atualizado
0091-3286	Optical Engineering (Bellingham. Print)	A1	ENGENHARIAS IV	Atualizado
1068-5200	Optical Fiber Technology (Print)	A1	ENGENHARIAS IV	Atualizado
1573-4277	Optical Switching and Networking (Print)	A1	ENGENHARIAS IV	Atualizado
0143-8166	Optics and Lasers in Engineering	A1	ENGENHARIAS IV	Atualizado
