ISSN	Título	Estrato	Área de Avaliação	Status
0092-8674	Cell (Cambridge)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1551-4005	Cell Cycle (Georgetown, Online)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1538-4101	Cell Cycle (Georgetown, Tex.)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1350-9047	Cell Death and Differentiation	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
2041-4889	Cell Death & Disease	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1931-3128	Cell Host & Microbe	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1550-4131	Cell Metabolism	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1001-0602	Cell Research	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1420-9071	Cellular and Molecular Life Sciences (Electronic ed.)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1420-682X	Cellular and Molecular Life Sciences (Printed ed.)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1462-5822	Cellular Microbiology (Online)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1462-5814	Cellular Microbiology (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1460-2199	Cerebral Cortex	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1047-3211	Cerebral Cortex (New York, N.Y. 1991)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1359-7345	Chemical Communications (London. 1996. Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0009-2665	Chemical Reviews	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0012-3692	Chest (American College of Chest Physicians)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0009-7322	Circulation (New York, N.Y.)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0009-7330	Circulation Research	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1365-2222	Clinical and Experimental Allergy	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0954-7894	Clinical and Experimental Allergy (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1078-0432	Clinical Cancer Research (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0009-9147	Clinical Chemistry (Baltimore, Md.)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
1058-4838	Clinical Infectious Diseases	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0893-8512	Clinical Microbiology Reviews (Print)	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
0009-9236	Clinical Pharmacology and Therapeutics	A1	CIÊNCIAS BIOLÓGICAS II	Atualizado
