ISSN	Título	Estrato	Área de Avaliação	Status
0013-7227	Endocrinology (Philadelphia)	A1	EDUCAÇÃO FÍSICA	Atualizado
0091-6765	Environmental Health Perspectives	A1	EDUCAÇÃO FÍSICA	Atualizado
0013-9580	Epilepsia (Copenhagen)	A1	EDUCAÇÃO FÍSICA	Atualizado
0195-668X	European Heart Journal	A1	EDUCAÇÃO FÍSICA	Atualizado
1439-6327	European Journal of Applied Physiology (Internet)	A1	EDUCAÇÃO FÍSICA	Atualizado
1439-6319	European Journal of Applied Physiology (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
1741-8275	European Journal of Cardiovascular Prevention & Rehabilitation (Online)	A1	EDUCAÇÃO FÍSICA	Atualizado
1741-8267	European Journal of Cardiovascular Prevention & Rehabilitation (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
1388-9842	European Journal of Heart Failure	A1	EDUCAÇÃO FÍSICA	Atualizado
1018-4813	European Journal of Human Genetics	A1	EDUCAÇÃO FÍSICA	Atualizado
1769-7212	European Journal of Medical Genetics	A1	EDUCAÇÃO FÍSICA	Atualizado
0953-816X	European Journal of Neuroscience (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
1436-6207	European Journal of Nutrition (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
1090-3801	European Journal of Pain (London, England)	A1	EDUCAÇÃO FÍSICA	Atualizado
1973-9087	European Journal of Physical and Rehabilitation Medicine (Testo Stampato)	A1	EDUCAÇÃO FÍSICA	Atualizado
0091-6331	Exercise and Sport Sciences Reviews (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
0014-4886	Experimental Neurology	A1	EDUCAÇÃO FÍSICA	Atualizado
0891-5849	Free Radical Biology & Medicine	A1	EDUCAÇÃO FÍSICA	Atualizado
1093-9946	Frontiers in Bioscience (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
1662-5110	Frontiers in Neural Circuits	A1	EDUCAÇÃO FÍSICA	Atualizado
0966-6362	Gait & Posture	A1	EDUCAÇÃO FÍSICA	Atualizado
0016-5085	Gastroenterology (New York, N.Y. 1943)	A1	EDUCAÇÃO FÍSICA	Atualizado
0378-5955	Hearing Research	A1	EDUCAÇÃO FÍSICA	Atualizado
1050-9631	Hippocampus (New York, N.Y. Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
0167-9457	Human Movement Science (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
0194-911X	Hypertension (Dallas, Tex. 1979)	A1	EDUCAÇÃO FÍSICA	Atualizado
0171-2985	Immunobiology (Jena. 1979)	A1	EDUCAÇÃO FÍSICA	Atualizado
1499-2027	International Journal of Audiology	A1	EDUCAÇÃO FÍSICA	Atualizado
0020-7136	International Journal of Cancer (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
0167-5273	International Journal of Cardiology (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
0300-5771	International Journal of Epidemiology	A1	EDUCAÇÃO FÍSICA	Atualizado
1368-2822	International Journal of Language and Communication Disorders (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
0307-0565	International Journal of Obesity	A1	EDUCAÇÃO FÍSICA	Atualizado
1526-484X	International Journal of Sport Nutrition and Exercise Metabolism (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
0172-4622	International Journal of Sports Medicine	A1	EDUCAÇÃO FÍSICA	Atualizado
0098-7484	JAMA (Chicago, Ill.)	A1	EDUCAÇÃO FÍSICA	Atualizado
0165-0327	Journal of Affective Disorders (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
1063-8652	Journal of Aging and Physical Activity	A1	EDUCAÇÃO FÍSICA	Atualizado
1387-2877	Journal of Alzheimer's Disease	A1	EDUCAÇÃO FÍSICA	Atualizado
8750-7587	Journal of Applied Physiology (1985)	A1	EDUCAÇÃO FÍSICA	Atualizado
1062-6050	Journal of Athletic Training	A1	EDUCAÇÃO FÍSICA	Atualizado
0021-9290	Journal of Biomechanics	A1	EDUCAÇÃO FÍSICA	Atualizado
0021-9355	Journal of Bone and Joint Surgery. American Volume (Print ed.)	A1	EDUCAÇÃO FÍSICA	Atualizado
0884-0431	Journal of Bone and Mineral Research	A1	EDUCAÇÃO FÍSICA	Atualizado
1071-9164	Journal of Cardiac Failure	A1	EDUCAÇÃO FÍSICA	Atualizado
0021-9541	Journal of Cellular Physiology (Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
0271-678X	Journal of Cerebral Blood Flow and Metabolism	A1	EDUCAÇÃO FÍSICA	Atualizado
1050-6411	Journal of Electromyography and Kinesiology	A1	EDUCAÇÃO FÍSICA	Atualizado
0096-1523	Journal of Experimental Psychology. Human Perception and Performance	A1	EDUCAÇÃO FÍSICA	Atualizado
0094-730X	Journal of Fluency Disorders	A1	EDUCAÇÃO FÍSICA	Atualizado
0263-6352	Journal of Hypertension	A1	EDUCAÇÃO FÍSICA	Atualizado
0022-202X	Journal of Investigative Dermatology	A1	EDUCAÇÃO FÍSICA	Atualizado
0022-2828	Journal of Molecular and Cellular Cardiology	A1	EDUCAÇÃO FÍSICA	Atualizado
0946-2716	Journal of Molecular Medicine (Berlin. Print)	A1	EDUCAÇÃO FÍSICA	Atualizado
0022-2895	Journal of Motor Behavior	A1	EDUCAÇÃO FÍSICA	Atualizado
