ISSN	Título	Estrato	Área de Avaliação	Status
0144-8617	Carbohydrate Polymers	A1	INTERDISCIPLINAR	Atualizado
0008-6223	Carbon (New York)	A1	INTERDISCIPLINAR	Atualizado
0143-3334	Carcinogenesis (New York. Print)	A1	INTERDISCIPLINAR	Atualizado
0008-7157	Casa de las Américas	A1	INTERDISCIPLINAR	Atualizado
0920-5861	Catalysis Today (Print)	A1	INTERDISCIPLINAR	Atualizado
0092-8674	Cell (Cambridge)	A1	INTERDISCIPLINAR	Atualizado
1538-4101	Cell Cycle (Georgetown, Tex.)	A1	INTERDISCIPLINAR	Atualizado
0963-6897	Cell Transplantation	A1	INTERDISCIPLINAR	Atualizado
0008-8846	Cement and Concrete Research	A1	INTERDISCIPLINAR	Atualizado
0272-8842	Ceramics International	A1	INTERDISCIPLINAR	Atualizado
1867-3880	ChemCatChem	A1	INTERDISCIPLINAR	Atualizado
1359-7345	Chemical Communications (London. 1996. Print)	A1	INTERDISCIPLINAR	Atualizado
0255-2701	Chemical Engineering and Processing	A1	INTERDISCIPLINAR	Atualizado
1521-4125	Chemical Engineering and Technology (Internet)	A1	INTERDISCIPLINAR	Atualizado
1385-8947	Chemical Engineering Journal (1996)	A1	INTERDISCIPLINAR	Atualizado
0009-2509	Chemical Engineering Science	A1	INTERDISCIPLINAR	Atualizado
0893-228X	Chemical Research in Toxicology	A1	INTERDISCIPLINAR	Atualizado
0947-6539	Chemistry - A European Journal	A1	INTERDISCIPLINAR	Atualizado
0897-4756	Chemistry of Materials	A1	INTERDISCIPLINAR	Atualizado
0045-6535	Chemosphere (Oxford)	A1	INTERDISCIPLINAR	Atualizado
1864-5631	ChemSusChem (Weinheim. Print)	A1	INTERDISCIPLINAR	Atualizado
0012-3692	Chest (American College of Chest Physicians)	A1	INTERDISCIPLINAR	Atualizado
1516-7313	Ciência e Educação (UNESP. Impresso)	A1	INTERDISCIPLINAR	Atualizado
0009-7330	Circulation Research	A1	INTERDISCIPLINAR	Atualizado
0930-7575	Climate Dynamics	A1	INTERDISCIPLINAR	Atualizado
1616-1572	Climate Research (Internet)	A1	INTERDISCIPLINAR	Atualizado
0165-0009	Climatic Change	A1	INTERDISCIPLINAR	Atualizado
0954-7894	Clinical and Experimental Allergy (Print)	A1	INTERDISCIPLINAR	Atualizado
1521-6616	Clinical Immunology (Orlando, Fla. Print)	A1	INTERDISCIPLINAR	Atualizado
1058-4838	Clinical Infectious Diseases	A1	INTERDISCIPLINAR	Atualizado
1198-743X	Clinical Microbiology and Infection (Print)	A1	INTERDISCIPLINAR	Atualizado
0261-5614	Clinical Nutrition (Edinburgh)	A1	INTERDISCIPLINAR	Atualizado
0009-9236	Clinical Pharmacology and Therapeutics	A1	INTERDISCIPLINAR	Atualizado
0143-5221	Clinical Science (1979)	A1	INTERDISCIPLINAR	Atualizado
1172-7047	CNS Drugs (Auckland)	A1	INTERDISCIPLINAR	Atualizado
1469-493X	Cochrane Database of Systematic Reviews (Online)	A1	INTERDISCIPLINAR	Atualizado
0269-9931	Cognition and Emotion (Print)	A1	INTERDISCIPLINAR	Atualizado
0927-7765	Colloids and Surfaces. B, Biointerfaces (Print)	A1	INTERDISCIPLINAR	Atualizado
1007-5704	Communications in Nonlinear Science & Numerical Simulation	A1	INTERDISCIPLINAR	Atualizado
0001-0782	Communications of the ACM	A1	INTERDISCIPLINAR	Atualizado
0010-4140	Comparative Political Studies	A1	INTERDISCIPLINAR	Atualizado
1359-835X	Composites. Part A, Applied Science and Manufacturing	A1	INTERDISCIPLINAR	Atualizado
0045-7825	Computer Methods in Applied Mechanics and Engineering	A1	INTERDISCIPLINAR	Atualizado
0010-4655	Computer Physics Communications	A1	INTERDISCIPLINAR	Atualizado
0360-1315	Computers and Education	A1	INTERDISCIPLINAR	Atualizado
0098-1354	Computers & Chemical Engineering	A1	INTERDISCIPLINAR	Atualizado
0305-0548	Computers & Operations Research	A1	INTERDISCIPLINAR	Atualizado
0045-7949	Computers & Structures	A1	INTERDISCIPLINAR	Atualizado
1077-3142	Computer Vision and Image Understanding (Print)	A1	INTERDISCIPLINAR	Atualizado
0888-8892	Conservation Biology	A1	INTERDISCIPLINAR	Atualizado
0010-938X	Corrosion Science	A1	INTERDISCIPLINAR	Atualizado
1466-609X	Critical Care (London. Online)	A1	INTERDISCIPLINAR	Atualizado
1364-8535	Critical Care (London. Print)	A1	INTERDISCIPLINAR	Atualizado
0090-3493	Critical Care Medicine	A1	INTERDISCIPLINAR	Atualizado
1528-7483	Crystal Growth & Design	A1	INTERDISCIPLINAR	Atualizado
1466-8033	CrystEngComm (Cambridge. Online)	A1	INTERDISCIPLINAR	Atualizado
1354-067X	Culture & Psychology	A1	INTERDISCIPLINAR	Atualizado
0011-3204	Current Anthropology	A1	INTERDISCIPLINAR	Atualizado
1389-2002	Current Drug Metabolism	A1	INTERDISCIPLINAR	Atualizado
0929-8673	Current Medicinal Chemistry	A1	INTERDISCIPLINAR	Atualizado
0011-5258	Dados (Rio de Janeiro. Impresso)	A1	INTERDISCIPLINAR	Atualizado
1477-9226	Dalton Transactions (2003. Print)	A1	INTERDISCIPLINAR	Atualizado
0102-4450	DELTA. Documentação de Estudos em Linguística Teórica e Aplicada (PUCSP. Impresso)	A1	INTERDISCIPLINAR	Atualizado
0109-5641	Dental Materials	A1	INTERDISCIPLINAR	Atualizado
1091-4269	Depression and Anxiety (Print)	A1	INTERDISCIPLINAR	Atualizado
0012-1622	Developmental Medicine and Child Neurology (Print)	A1	INTERDISCIPLINAR	Atualizado
0950-1991	Development (Cambridge)	A1	INTERDISCIPLINAR	Atualizado
0149-5992	Diabetes Care	A1	INTERDISCIPLINAR	Atualizado
0012-1797	Diabetes (New York, N.Y.)	A1	INTERDISCIPLINAR	Atualizado
0012-186X	Diabetologia (Berlin)	A1	INTERDISCIPLINAR	Atualizado
1366-9516	Diversity and Distributions (Print)	A1	INTERDISCIPLINAR	Atualizado
0143-7208	Dyes and Pigments	A1	INTERDISCIPLINAR	Atualizado
0012-821X	Earth and Planetary Science Letters	A1	INTERDISCIPLINAR	Atualizado
