ISSN	Título	Estrato	Área de Avaliação	Status
1982-0836	Ipotesi (Juiz de Fora. Online)	A2	ARQUITETURA E URBANISMO	Atualizado
1415-2525	Ipotesi (UFJF. Impresso)	A2	ARQUITETURA E URBANISMO	Atualizado
0959-6526	Journal of Cleaner Production	A2	ARQUITETURA E URBANISMO	Atualizado
1555-1423	Journal of Computational and Nonlinear Dynamics (Online)	A2	ARQUITETURA E URBANISMO	Atualizado
0957-4530	Journal of Materials Science. Materials in Medicine	A2	ARQUITETURA E URBANISMO	Atualizado
0022-460X	Journal of Sound and Vibration	A2	ARQUITETURA E URBANISMO	Atualizado
1357-4809	Journal of Urban Design (Abingdon)	A2	ARQUITETURA E URBANISMO	Atualizado
0169-2046	Landscape and Urban Planning	A2	ARQUITETURA E URBANISMO	Atualizado
0142-6397	Landscape Research	A2	ARQUITETURA E URBANISMO	Atualizado
0921-5093	Materials Science & Engineering. A, Structural Materials: Properties, Microstructure and Processing	A2	ARQUITETURA E URBANISMO	Atualizado
0168-2601	Open House International	A2	ARQUITETURA E URBANISMO	Atualizado
0079-0958	Perspecta (New Haven, Conn.)	A2	ARQUITETURA E URBANISMO	Atualizado
0266-5433	Planning Perspectives (Print)	A2	ARQUITETURA E URBANISMO	Atualizado
0170-0839	Polymer Bulletin (Berlin. Print)	A2	ARQUITETURA E URBANISMO	Atualizado
0141-3910	Polymer Degradation and Stability	A2	ARQUITETURA E URBANISMO	Atualizado
0103-7269	Porto Arte (UFRGS)	A2	ARQUITETURA E URBANISMO	Atualizado
0102-7972	Psicologia: Reflexão e Crítica (UFRGS. Impresso)	A2	ARQUITETURA E URBANISMO	Atualizado
0960-1481	Renewable Energy	A2	ARQUITETURA E URBANISMO	Atualizado
0560-4613	Revista Brasileira de Cartografia (Impresso)	A2	ARQUITETURA E URBANISMO	Atualizado
0102-3098	Revista Brasileira de Estudos de População (Impresso)	A2	ARQUITETURA E URBANISMO	Atualizado
1657-0308	Revista de Arquitectura	A2	ARQUITETURA E URBANISMO	Atualizado
1293-8882	Revue Tiers Monde	A2	ARQUITETURA E URBANISMO	Atualizado
1138-9788	Scripta Nova (Barcelona)	A2	ARQUITETURA E URBANISMO	Atualizado
1206-3312	Space and Culture	A2	ARQUITETURA E URBANISMO	Atualizado
0391-2248	Storia Urbana (Testo stampato)	A2	ARQUITETURA E URBANISMO	Atualizado
0327-9022	Summa + (Buenos Aires)	A2	ARQUITETURA E URBANISMO	Atualizado
0021-8464	The Journal of Adhesion (Print)	A2	ARQUITETURA E URBANISMO	Atualizado
1050-2092	Traditional Dwellings and Settlements Review	A2	ARQUITETURA E URBANISMO	Atualizado
1357-5317	Urban Design International (London. Print)	A2	ARQUITETURA E URBANISMO	Atualizado
1806-2563	Acta Scientiarum. Technology (Impresso)	B1	ARQUITETURA E URBANISMO	Atualizado
1518-8728	Alceu (PUCRJ)	B1	ARQUITETURA E URBANISMO	Atualizado
1678-8621	Ambiente Construído (Online)	B1	ARQUITETURA E URBANISMO	Atualizado
1415-8876	Ambiente Construído (São Paulo. Impresso)	B1	ARQUITETURA E URBANISMO	Atualizado
1413-1803	Anais do Museu Histórico Nacional	B1	ARQUITETURA E URBANISMO	Atualizado
0003-858X	Architectural Record	B1	ARQUITETURA E URBANISMO	Atualizado
0003-861X	Architectural Review (London)	B1	ARQUITETURA E URBANISMO	Atualizado
0717-6996	ARQ (Santiago. En línea)	B1	ARQUITETURA E URBANISMO	Atualizado
0716-0852	ARQ (Santiago. Impresa)	B1	ARQUITETURA E URBANISMO	Atualizado
1518-238X	Arqtexto (UFRGS)	B1	ARQUITETURA E URBANISMO	Atualizado
1815-5898	Arquitectura y Urbanismo	B1	ARQUITETURA E URBANISMO	Atualizado
1809-6298	Arquitextos (São Paulo)	B1	ARQUITETURA E URBANISMO	Atualizado
0005-6855	Bauwelt (Gutersloh. 1952)	B1	ARQUITETURA E URBANISMO	Atualizado
0102-311X	Cadernos de Saúde Pública (ENSP. Impresso)	B1	ARQUITETURA E URBANISMO	Atualizado
1517-2422	Cadernos Metrópole (PUCSP)	B1	ARQUITETURA E URBANISMO	Atualizado
1141-7161	Cahiers des Amériques Latines (Paris)	B1	ARQUITETURA E URBANISMO	Atualizado
0272-8842	Ceramics International	B1	ARQUITETURA E URBANISMO	Atualizado
1679-3625	Cidades (Presidente Prudente)	B1	ARQUITETURA E URBANISMO	Atualizado
0009-8558	Clay Minerals (Print)	B1	ARQUITETURA E URBANISMO	Atualizado
0045-7949	Computers & Structures	B1	ARQUITETURA E URBANISMO	Atualizado
1415-2681	Concinnitas (Rio de Janeiro. Impresso)	B1	ARQUITETURA E URBANISMO	Atualizado
0950-0618	Construction & Building Materials	B1	ARQUITETURA E URBANISMO	Atualizado
0327-3776	Cuadernos de Antropología Social (Impresa)	B1	ARQUITETURA E URBANISMO	Atualizado
1754-7075	Design and Culture (Print)	B1	ARQUITETURA E URBANISMO	Atualizado
1813-9248	Diálogos de la Comunicación	B1	ARQUITETURA E URBANISMO	Atualizado
1665-1294	Diseño en Síntesis: Reflexiones sobre la Cultura del Diseño	B1	ARQUITETURA E URBANISMO	Atualizado
1380-3204	DOCOMOMO Journal	B1	ARQUITETURA E URBANISMO	Atualizado
2179-7374	Educação Gráfica (Online)	B1	ARQUITETURA E URBANISMO	Atualizado
1414-3895	Educação Gráfica (UNESP. Bauru)	B1	ARQUITETURA E URBANISMO	Atualizado
2177-2312	e-metropolis: Revista eletrônica de Estudos Urbanos e Regionais	B1	ARQUITETURA E URBANISMO	Atualizado
0955-7997	Engineering Analysis with Boundary Elements	B1	ARQUITETURA E URBANISMO	Atualizado
0956-2478	Environment and Urbanization	B1	ARQUITETURA E URBANISMO	Atualizado
0186-7210	Estudios Demográficos y Urbanos de El Colegio de México	B1	ARQUITETURA E URBANISMO	Atualizado
0103-4014	Estudos Avançados (USP. Impresso)	B1	ARQUITETURA E URBANISMO	Atualizado
0104-4249	Estudos em Design (Impresso)	B1	ARQUITETURA E URBANISMO	Atualizado
1983-196X	Estudos em Design (Online)	B1	ARQUITETURA E URBANISMO	Atualizado
0103-2186	Estudos Historicos (Rio de Janeiro)	B1	ARQUITETURA E URBANISMO	Atualizado
0928-0987	European Journal of Pharmaceutical Sciences	B1	ARQUITETURA E URBANISMO	Atualizado
0939-6411	European Journal of Pharmaceutics and Biopharmaceutics	B1	ARQUITETURA E URBANISMO	Atualizado
1517-8900	Faces : Revista de Administração (Belo Horizonte. Impresso)	B1	ARQUITETURA E URBANISMO	Atualizado
1466-4615	Film-Philosophy (London)	B1	ARQUITETURA E URBANISMO	Atualizado
0430-5027	Finisterra (Lisboa. 1966)	B1	ARQUITETURA E URBANISMO	Atualizado
0016-7185	Geoforum	B1	ARQUITETURA E URBANISMO	Atualizado
0104-530X	Gestão & Produção (UFSCAR. Impresso)	B1	ARQUITETURA E URBANISMO	Atualizado
1093-4421	Harvard Design Magazine	B1	ARQUITETURA E URBANISMO	Atualizado
0104-5970	História, Ciências, Saúde-Manguinhos (Impresso)	B1	ARQUITETURA E URBANISMO	Atualizado
0018-7208	Human Factors	B1	ARQUITETURA E URBANISMO	Atualizado
0104-0146	Informação & Sociedade (UFPB. Impresso)	B1	ARQUITETURA E URBANISMO	Atualizado
1469-8412	Innovation: The European Journal of Social Science Research	B1	ARQUITETURA E URBANISMO	Atualizado
0020-6814	International Geology Review	B1	ARQUITETURA E URBANISMO	Atualizado
1558-3058	International Journal of Architectural Heritage	B1	ARQUITETURA E URBANISMO	Atualizado
1932-8036	International Journal of Communication (Online)	B1	ARQUITETURA E URBANISMO	Atualizado
0020-7594	International Journal of Psychology (Print)	B1	ARQUITETURA E URBANISMO	Atualizado
1290-0729	International Journal of Thermal Sciences	B1	ARQUITETURA E URBANISMO	Atualizado
0790-0627	International Journal of Water Resources Development (Print)	B1	ARQUITETURA E URBANISMO	Atualizado
1464-343X	Journal of African Earth Sciences (1994)	B1	ARQUITETURA E URBANISMO	Atualizado
1934-7359	Journal of Civil Engineering and Architecture (Print)	B1	ARQUITETURA E URBANISMO	Atualizado
0168-7034	Journal of Consumer Policy	B1	ARQUITETURA E URBANISMO	Atualizado
0022-0418	Journal of Documentation	B1	ARQUITETURA E URBANISMO	Atualizado
1566-4910	Journal of Housing and the Built Environment	B1	ARQUITETURA E URBANISMO	Atualizado
1542-4278	Journal of Latin American Urban Studies	B1	ARQUITETURA E URBANISMO	Atualizado
1573-4838	Journal of Materials Science. Materials in Medicine (Dordrecht. Online)	B1	ARQUITETURA E URBANISMO	Atualizado
0022-3549	Journal of Pharmaceutical Sciences	B1	ARQUITETURA E URBANISMO	Atualizado
1388-6150	Journal of Thermal Analysis and Calorimetry	B1	ARQUITETURA E URBANISMO	Atualizado
0897-6546	Law & Social Inquiry	B1	ARQUITETURA E URBANISMO	Atualizado
0020-0093	L' Information Geographique	B1	ARQUITETURA E URBANISMO	Atualizado
0465-2746	Materiales de Construcción (Madrid)	B1	ARQUITETURA E URBANISMO	Atualizado
0264-1275	Materials & Design	B1	ARQUITETURA E URBANISMO	Atualizado
0928-4931	Materials Science & Engineering. C, Biomimetic Materials, Sensors and Systems (Print)	B1	ARQUITETURA E URBANISMO	Atualizado
0933-5137	Materialwissenschaft und Werkstofftechnik	B1	ARQUITETURA E URBANISMO	Atualizado
1537-6494	Mechanics of Advanced Materials and Structures	B1	ARQUITETURA E URBANISMO	Atualizado
0026-4598	Mineralium Deposita	B1	ARQUITETURA E URBANISMO	Atualizado
0101-3300	Novos Estudos CEBRAP (Impresso)	B1	ARQUITETURA E URBANISMO	Atualizado
0251-3552	Nueva Sociedad	B1	ARQUITETURA E URBANISMO	Atualizado
2236-417X	Perspectivas em Gestão & Conhecimento	B1	ARQUITETURA E URBANISMO	Atualizado
0100-204X	Pesquisa Agropecuária Brasileira (1977. Impressa)	B1	ARQUITETURA E URBANISMO	Atualizado
0267-5315	Portuguese Studies	B1	ARQUITETURA E URBANISMO	Atualizado
1518-9554	Pós. Revista do Programa de Pós-Graduação em Arquitetura e Urbanismo da FAUUSP	B1	ARQUITETURA E URBANISMO	Atualizado
1676-4056	Product (IGDP)	B1	ARQUITETURA E URBANISMO	Atualizado
1559-9736	Progressive Planning	B1	ARQUITETURA E URBANISMO	Atualizado
0100-6762	Revista Árvore (Impresso)	B1	ARQUITETURA E URBANISMO	Atualizado
0102-6909	Revista Brasileira de Ciências Sociais (Impresso)	B1	ARQUITETURA E URBANISMO	Atualizado
1517-4115	Revista Brasileira de Estudos Urbanos e Regionais (ANPUR)	B1	ARQUITETURA E URBANISMO	Atualizado
2175-3423	Revista Brasileira de História & Ciências Sociais	B1	ARQUITETURA E URBANISMO	Atualizado
1679-768X	Revista da ANPEGE	B1	ARQUITETURA E URBANISMO	Atualizado
0101-4366	Revista do Instituto Histórico e Geographico Brazileiro	B1	ARQUITETURA E URBANISMO	Atualizado
0102-2571	Revista do Patrimônio Histórico e Artístico Nacional	B1	ARQUITETURA E URBANISMO	Atualizado
1984-4506	Risco: Revista de Pesquisa em Arquitetura e Urbanismo (on line)	B1	ARQUITETURA E URBANISMO	Atualizado
1679-3498	Risco (São Carlos)	B1	ARQUITETURA E URBANISMO	Atualizado
0037-1998	Semiotica (Berlin)	B1	ARQUITETURA E URBANISMO	Atualizado
0104-9224	Soldagem e Inspeção (Impresso)	B1	ARQUITETURA E URBANISMO	Atualizado
0391-3988	The International Journal of Artificial Organs (Testo stampato)	B1	ARQUITETURA E URBANISMO	Atualizado
0177-798X	Theoretical and Applied Climatology	B1	ARQUITETURA E URBANISMO	Atualizado
0042-1022	Urbanistica (Torino)	B1	ARQUITETURA E URBANISMO	Atualizado
1470-3572	Visual Communication (Print)	B1	ARQUITETURA E URBANISMO	Atualizado
1051-9815	Work (Reading, MA)	B1	ARQUITETURA E URBANISMO	Atualizado
1405-2253	America Latina en la Historía Económica	B2	ARQUITETURA E URBANISMO	Atualizado
0889-5406	American Journal of Orthodontics and Dentofacial Orthopedics	B2	ARQUITETURA E URBANISMO	Atualizado
0101-4714	Anais do Museu Paulista (Impresso)	B2	ARQUITETURA E URBANISMO	Atualizado
1657-9763	Apuntes (Pontificia Universidad Javeriana)	B2	ARQUITETURA E URBANISMO	Atualizado
1745-2007	Architectural Engineering and Design Management	B2	ARQUITETURA E URBANISMO	Atualizado
0003-8628	Architectural Science Review (Sydney)	B2	ARQUITETURA E URBANISMO	Atualizado
1808-5741	Arquiteturarevista (UNISINOS)	B2	ARQUITETURA E URBANISMO	Atualizado
1819-2939	Arquitextos (Lima)	B2	ARQUITETURA E URBANISMO	Atualizado
1516-1692	Arte & Ensaio (UFRJ)	B2	ARQUITETURA E URBANISMO	Atualizado
0103-4979	Caderno CRH (UFBA. Impresso)	B2	ARQUITETURA E URBANISMO	Atualizado
1413-2095	Cadernos de Arquitetura e Urbanismo (PUCMG)	B2	ARQUITETURA E URBANISMO	Atualizado
1679-7604	Cadernos do PROARQ (UFRJ)	B2	ARQUITETURA E URBANISMO	Atualizado
1676-6288	Cadernos PROLAM/USP	B2	ARQUITETURA E URBANISMO	Atualizado
1065-0741	Campus-Wide Information Systems	B2	ARQUITETURA E URBANISMO	Atualizado
0366-6913	Cerâmica (São Paulo. Impresso)	B2	ARQUITETURA E URBANISMO	Atualizado
0103-8478	Ciência Rural (UFSM. Impresso)	B2	ARQUITETURA E URBANISMO	Atualizado
1981-5956	City & Time (Impresso)	B2	ARQUITETURA E URBANISMO	Atualizado
1807-7544	City & Time (Online)	B2	ARQUITETURA E URBANISMO	Atualizado
